epoch,combined,light,medium,strong
0,31.0288,36.8077,37.0326,36.9919
1,17.5473,24.8901,25.0195,25.2574
2,15.4829,18.2282,18.3645,18.3441
3,14.6966,16.4386,16.5987,16.6047
4,14.2075,15.5821,15.7002,15.771
5,13.5498,14.508,14.6808,14.9426
6,13.1629,13.9592,14.0815,14.2783
7,12.8481,13.5722,13.7696,13.9213
8,12.5288,13.3452,13.4338,13.608
9,12.2714,13.1006,13.2336,13.432
10,12.2685,13.0739,13.1112,13.5153
11,12.0331,12.7963,12.9338,13.2849
12,11.813,12.5949,12.6364,13.089
13,11.5591,12.4331,12.4456,12.9175
14,11.4074,12.2791,12.3259,12.7545
15,11.5029,12.2271,12.2832,12.8056
16,11.3099,12.0134,12.0787,12.6481
17,11.1286,11.8722,11.9334,12.3319
18,11.0371,11.696,11.7967,12.2687
19,10.9009,11.5617,11.6146,12.1501
20,10.9077,11.532,11.5979,12.1136
21,10.7462,11.3828,11.4697,11.924
22,10.6207,11.2055,11.3547,11.7418
23,10.5216,11.126,11.2371,11.6793
24,10.4062,11.0504,11.112,11.6164
25,10.4227,10.9303,11.0728,11.5665
26,10.3331,10.8493,10.9672,11.4232
27,10.1878,10.77,10.8304,11.337
28,10.1393,10.6822,10.7687,11.2597
29,10.0255,10.5491,10.7036,11.189
30,9.9746,10.5131,10.6525,11.1096
31,9.9137,10.4173,10.565,11.0347
32,9.799,10.3373,10.5161,10.9508
33,9.7434,10.27,10.3854,10.893
34,9.6712,10.188,10.3313,10.7898
35,9.6075,10.1467,10.2522,10.7522
36,9.5219,10.0833,10.2027,10.7152
37,9.4719,10.0021,10.141,10.6196
38,9.3947,9.9467,10.0736,10.5237
39,9.3487,9.8551,10.0423,10.4792
40,9.2766,9.8199,9.9725,10.4265
41,9.236,9.7592,9.8935,10.3701
42,9.1877,9.6775,9.8936,10.3006
43,9.1838,9.6602,9.8187,10.2756
44,9.0992,9.6452,9.7786,10.2513
45,9.0584,9.6123,9.7529,10.1616
46,8.9756,9.5326,9.6996,10.1369
47,8.9367,9.5096,9.6571,10.0732
48,8.901,9.3844,9.5808,10.0943
49,8.8541,9.4181,9.5558,10.0471
50,8.7906,9.3638,9.5199,10.0975
51,8.7783,9.8006,9.4799,10.0143
52,8.7503,9.4185,9.4427,9.9274
53,8.7469,9.4244,9.3949,9.8439
54,8.6832,9.4922,9.3785,9.8884
55,8.6592,9.442,9.2933,9.8347
56,8.6454,9.4401,9.2984,9.7835
57,8.6017,9.3643,9.2663,9.821
58,8.757,9.5076,9.2854,9.772
59,8.6499,9.5114,9.306,9.7209
60,8.5524,9.5384,9.1882,9.7176
61,8.5095,9.5196,9.1366,9.5663
62,8.5107,9.3713,9.1358,9.75
63,8.529,9.3393,9.1997,9.6524
64,8.5396,9.3711,9.2579,9.5922
65,8.5428,9.3826,9.1147,9.5341
66,8.4722,9.4832,9.0664,9.815
67,8.4876,9.4747,9.2133,9.6313
68,8.5299,9.3821,9.1563,9.6621
69,8.6168,9.343,8.98,9.5575
70,8.7513,9.3779,9.0022,9.6496
71,7.1966,7.9875,7.4222,8.0181
